item,descricao,status,observacoes
AUTH-01,Login com MASTER_ADMIN,pendente,
AUTH-02,Login com ADMIN,pendente,
AUTH-03,Login com VOLUNTARIO,pendente,
AUTH-04,Reset de senha via email,pendente,
USER-01,Cadastro de voluntario,pendente,
USER-02,Aprovacao de voluntario por admin,pendente,
SCHED-01,Criacao de escala,pendente,
SCHED-02,Lembrete de escala por email,pendente,
SWAP-01,Solicitacao de troca,pendente,
SWAP-02,Aprovacao de troca,pendente,
SWAP-03,Recusa de troca,pendente,
CHECKIN-01,Check-in no evento,pendente,
GCAL-01,Integracao Google Calendar,pendente,
OPS-01,SSL valido no frontend,pendente,
OPS-02,SSL valido no backend,pendente,
OPS-03,Health check backend /health,pendente,
OPS-04,Logs acessiveis no Coolify,pendente,
DB-01,Backup diario executando,pendente,
DB-02,Restore testado com sucesso,pendente,
SEC-01,CORS restrito ao dominio oficial,pendente,
SEC-02,Swagger desativado em producao,pendente,
SEC-03,Conta MASTER_ADMIN protegida,pendente,
